nombre;id;detalle_url;latitud;longitud;localidad;region;precio;superficie_construida;superficie_til;superficie_solar;habitaciones;baos;antigedad;conservacin;referencia;armarios_empotrados;carpintera_interior;tipo_suelo;carpintera_exterior;chimenea;cocina_equipada;comedor;lavadero;puerta_blindada;sistema_de_seguridad;terraza;jardn;orientacin;urbanizado;calle_alumbrada;calle_asfaltada;se_aceptan_mascotas;tipo_de_casa;garaje;piscina;gastos_de_comunidad;agua;aire_acondicionado;calefaccin;trastero;amueblado;vidrios_dobles;luz;telfono;adaptado_a_personas_con_movilidad_reducida;gas;no_se_aceptan_mascotas;ascensor;planta;exterior;balcn;soleado;portero_automtico;interior;fecha
"&#xC1;tico en Formentera del Segura";880870989,1085;https://www.pisos.com/comprar/atico-formentera_del_segura_centro_urbano-880870989_108500/;38,088370764;-0,727688003;Formentera del Segura;Alicante;106.000 €;72 m²;65 m²;;3;1.0;;;IW556;TRUE;;;;;;;;TRUE;;No acristalada;;;;;;;;;Comunitaria;;;;;;;;;;;;;TRUE;;;;;;TRUE;26/07/2025
Piso en Centro Tradicional;923799989,512463;https://www.pisos.com/comprar/piso-centro_tradicional03002-923799989_512463/;38,3457534;-0,4838418;Alicante Alacant;Alicante;429.999 €;201 m²;190 m²;;5;2.0;Entre 30 y 50 años;En buen estado;060627;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TRUE;4ª;;;;;;19/02/2026
Piso en Avinguda del Murtal;937841783,2631;https://www.pisos.com/comprar/piso-platja_de_ponent-937841783_263100/;38,537140198;-0,157945045;Benidorm;Alicante;525.000 €;110 m²;110 m²;;4;2.0;Entre 10 y 20 años;Reformado;001952;Empotrados;;Mármol;;;Independiente;Muy amplio;TRUE;TRUE;TRUE;TRUE;TRUE;Se;;;;;;TRUE;Sin especificar;;;;Sin especificar;;TRUE;TRUE;;;;;;TRUE;19ª;;;TRUE;TRUE;;24/02/2026
"Apartamento en Avenida de Mallorca, n&#xBA; 4";951724054,2631;https://www.pisos.com/comprar/apartamento-benidorm_centre-951724054_263100/;38,5369786;-0,1160152;Benidorm;Alicante;300.000 €;70 m²;70 m²;;1;;Menos de 5 años;En buen estado;000898;TRUE;;Mármol;;;Independiente;Salón comedor;Cerrado;TRUE;TRUE;Acristalada;;;;;;;;TRUE;TRUE;;;;TRUE;En la misma planta que el piso;TRUE;TRUE;;TRUE;;;;TRUE;1ª;;;TRUE;Video portero;;Desconocida
Piso en Barrio de La Dulzura;959414564,4433;https://www.pisos.com/comprar/piso-ibi_centro_urbano-959414564_443300/;38,624940932;-0,568665231;Ibi;Alicante;133.308 €;92 m²;84 m²;;3;;Menos de 5 años;A estrenar;001390;;Pino;Tarima/gres;Aluminio/climalit;;Amueblada;TRUE;TRUE;TRUE;;;;Sur;;;;;;;;30;TRUE;;;;Semiamueblada;;TRUE;;;TRUE;;TRUE;Bajo;TRUE;;TRUE;TRUE;;Desconocida
"Piso en Carrer de la Gran V&#xED;a, 37";989062355,1843;https://www.pisos.com/comprar/piso-sax_centro_urbano-989062355_184300/;38,5348320030628;-0,820294460713171;Sax;Alicante;159.200 €;225 m²;225 m²;;5;3.0;;En buen estado;00345;;;;;;TRUE;;TRUE;;;32 m²;;;;;;;;TRUE;;;;;;;;;;;;;;TRUE;3ª;;True;;;;Desconocida_Revisada
Chalet en Valverde;989209498,4342;https://www.pisos.com/comprar/chalet-torrellano_valverde_parc_empresarial-989209498_434200/;38,2349591;-0,5995188;Elx Elche;Alicante;920.000 €;780 m²;780 m²;8.000 m²;7;4.0;;Reformado;003653;Sin especificar;;;;TRUE;3;3;2;;;TRUE;TRUE;Mediodia;;TRUE;TRUE;;;TRUE;Sin especificar;;TRUE;;Con caldera gasoil;;TRUE;;TRUE;;;;;;;;;;;;02/02/2026
Chalet en Casco Antiguo;1668559016,1018;https://www.pisos.com/comprar/chalet-calpe_calp_casco_antiguo-1668559016_101800/;38,6449065;0,0467782;Calpe Calp;Alicante;780.000 €;278 m²;;;3;3.0;;;V-412;1;;;;;Cocina equipada;;;;;TRUE;Privado;Al mar;;;;;;1;Propia;;;;Central;;;;;;;;;;;;;;;;Desconocida_Revisada
Chalet en Carrer Chafarinas, 11;1678739152,51926;https://www.pisos.com/comprar/chalet-urbanizacion_loma_bada-1678739152_519261/;38,4511054103767;-0,767251084166483;Petrer;Alicante;695.000 €;500 m²;480 m²;2.300 m²;7;5.0;Entre 10 y 20 años;En buen estado;20 248 JJP;Más de 2;TRUE;Mármol;Aluminio;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Privado;Suroeste;TRUE;TRUE;TRUE;;;;Propia;;;Frío y calor;Central;;TRUE;;;;True;;;;;;;;;;24/02/2026
"Finca r&#xFA;stica en Pol&#xED;gono Biscoy (Biscois) Pol. 2";1702476159,4433;https://www.pisos.com/comprar/finca_rustica-ibi_centro_urbano-1702476159_443300/;38,624996279;-0,571202236;Ibi;Alicante;300.000 €;299.654 m²;;299.654 m²;;;;En buen estado;002472;;;;;;;;;;;;;;;;TRUE;;;;;;;;;;;;;;;;;;;;;;;;Desconocida
